loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti
10000, 60 months,10.38,B,< 1 year,RENT,42324.0,Sep-2010,Fully Paid,major_purchase,TX,15.79
16050, 60 months,12.12,B,10+ years,MORTGAGE,45000.0,Nov-2012,Charged Off,debt_consolidation,GA,29.07
10000, 36 months,6.62,A,10+ years,MORTGAGE,43000.0,Dec-2013,Fully Paid,debt_consolidation,MO,20.38
9900, 36 months,8.99,B,4 years,RENT,79000.0,Jun-2016,Charged Off,debt_consolidation,IL,10.43
28900, 36 months,14.65,C,1 year,RENT,112000.0,Mar-2015,Fully Paid,debt_consolidation,NY,8.19
12825, 36 months,10.99,B,,RENT,28000.0,Apr-2015,Fully Paid,credit_card,NV,14.27
3000, 36 months,6.99,A,10+ years,MORTGAGE,110000.0,Jan-2017,Fully Paid,home_improvement,NY,17.38
7500, 36 months,11.99,C,2 years,RENT,111000.0,Dec-2015,Charged Off,debt_consolidation,CA,14.09
4875, 36 months,18.49,E,10+ years,RENT,18000.0,Dec-2015,Fully Paid,debt_consolidation,GA,30.87
12000, 36 months,9.75,B,7 years,OWN,41800.0,Feb-2016,Fully Paid,credit_card,FL,22.31
4800, 36 months,6.89,A,< 1 year,RENT,62000.0,Dec-2015,Fully Paid,debt_consolidation,CO,18.56
5000, 36 months,6.11,A,1 year,RENT,52000.0,Oct-2018,Fully Paid,credit_card,FL,6.16
9775, 36 months,14.46,C,3 years,RENT,40704.0,Feb-2016,Fully Paid,debt_consolidation,VA,19.17
1000, 36 months,11.44,B,< 1 year,RENT,54000.0,Oct-2016,Fully Paid,medical,CA,21.13
24275, 60 months,18.99,D,10+ years,MORTGAGE,68000.0,Sep-2016,Charged Off,home_improvement,CA,13.27
8000, 36 months,9.17,B,< 1 year,RENT,43000.0,Jul-2014,Fully Paid,debt_consolidation,IN,17.47
30000, 36 months,14.49,C,10+ years,OWN,72000.0,Jul-2016,Fully Paid,other,NV,14.3
18000, 36 months,14.99,C,10+ years,MORTGAGE,88151.0,Jan-2015,Fully Paid,debt_consolidation,UT,28.06
12275, 36 months,19.52,E,2 years,RENT,51000.0,Aug-2014,Fully Paid,major_purchase,CO,25.06
28000, 60 months,17.14,D,7 years,MORTGAGE,95000.0,Nov-2014,Charged Off,credit_card,MI,25.96
6400, 36 months,18.06,D,2 years,OWN,45120.0,Jul-2017,Charged Off,debt_consolidation,TN,17.53
12000, 36 months,9.99,B,2 years,RENT,45000.0,May-2015,Fully Paid,debt_consolidation,CA,8.0
28000, 36 months,5.32,A,10+ years,OWN,105000.0,Jul-2015,Fully Paid,credit_card,VA,27.09
6000, 36 months,11.99,B,,OWN,50000.0,Dec-2014,Fully Paid,other,TX,19.21
7200, 36 months,15.77,D,10+ years,MORTGAGE,133000.0,Jan-2016,Fully Paid,other,NJ,10.23
3425, 36 months,13.99,C,2 years,RENT,67800.0,Feb-2015,Charged Off,medical,MD,27.86
12000, 36 months,10.64,B,8 years,MORTGAGE,44000.0,Sep-2013,Charged Off,debt_consolidation,GA,28.39
11575, 60 months,26.99,F,7 years,RENT,35000.0,Aug-2016,Fully Paid,debt_consolidation,NJ,24.73
20000, 36 months,10.99,B,10+ years,MORTGAGE,66000.0,Oct-2014,Fully Paid,debt_consolidation,NJ,27.62
18975, 36 months,8.49,B,5 years,MORTGAGE,118000.0,Jan-2016,Fully Paid,debt_consolidation,MA,18.94
21000, 36 months,6.99,A,10+ years,MORTGAGE,120000.0,Jan-2015,Fully Paid,debt_consolidation,OH,23.21
6000, 36 months,14.99,C,2 years,OWN,36000.0,Jan-2017,Charged Off,credit_card,AZ,18.83
10000, 36 months,7.69,A,10+ years,RENT,62000.0,Sep-2014,Fully Paid,credit_card,MD,18.91
11000, 36 months,11.49,B,< 1 year,RENT,52000.0,Jul-2016,Fully Paid,credit_card,NY,5.26
9000, 36 months,8.18,B,2 years,RENT,55000.0,Oct-2015,Fully Paid,credit_card,FL,11.61
10000, 60 months,18.06,D,1 year,OWN,162000.0,Sep-2017,Charged Off,house,NJ,12.91
24000, 36 months,8.39,B,< 1 year,MORTGAGE,85000.0,Jun-2016,Fully Paid,debt_consolidation,MA,14.13
27000, 36 months,17.99,D,3 years,RENT,75000.0,Aug-2016,Fully Paid,debt_consolidation,NJ,29.57
9325, 36 months,16.59,D,3 years,MORTGAGE,95000.0,Apr-2014,Fully Paid,debt_consolidation,GA,28.79
6675, 36 months,22.74,E,9 years,RENT,35000.0,Mar-2017,Fully Paid,debt_consolidation,MA,34.57
14000, 36 months,14.98,C,2 years,RENT,80000.0,Dec-2013,Fully Paid,debt_consolidation,CA,5.95
6000, 36 months,11.67,B,1 year,OWN,25000.0,Oct-2014,Fully Paid,debt_consolidation,GA,20.21
15000, 36 months,7.39,A,6 years,MORTGAGE,168000.0,Mar-2016,Fully Paid,credit_card,MO,12.75
15000, 36 months,10.99,B,1 year,MORTGAGE,118500.0,Oct-2016,Fully Paid,debt_consolidation,IL,11.11
1000, 36 months,5.32,A,3 years,RENT,77490.0,Apr-2016,Fully Paid,credit_card,VA,3.25
3500, 36 months,10.75,B,8 years,OWN,72000.0,Jun-2016,Fully Paid,debt_consolidation,MD,19.05
2000, 36 months,14.08,C,< 1 year,RENT,40000.0,Aug-2017,Fully Paid,debt_consolidation,AR,30.57
13000, 36 months,9.17,B,4 years,MORTGAGE,35000.0,Jul-2014,Fully Paid,credit_card,MO,26.95
9000, 36 months,8.18,B,10+ years,RENT,63000.0,Nov-2015,Fully Paid,credit_card,KY,4.29
2900, 36 months,21.97,E,8 years,OWN,17244.0,Mar-2016,Charged Off,debt_consolidation,AR,7.65
1500, 36 months,15.59,C,6 years,RENT,80000.0,Sep-2016,Fully Paid,moving,AZ,16.01
2200, 36 months,10.49,B,6 years,RENT,40000.0,Dec-2014,Fully Paid,credit_card,UT,8.28
6000, 36 months,14.85,C,8 years,RENT,50000.0,Dec-2015,Fully Paid,credit_card,IL,14.21
20000, 60 months,14.46,C,3 years,MORTGAGE,62000.0,May-2016,Fully Paid,debt_consolidation,TX,31.11
25000, 60 months,12.99,B,10+ years,MORTGAGE,65000.0,Mar-2014,Fully Paid,debt_consolidation,WI,5.85
4800, 36 months,8.24,B,10+ years,OWN,120000.0,Jan-2017,Fully Paid,debt_consolidation,FL,10.26
4000, 36 months,13.33,C,< 1 year,RENT,50000.0,May-2015,Fully Paid,credit_card,NY,15.15
13700, 36 months,12.12,B,6 years,RENT,42500.0,Apr-2013,Fully Paid,credit_card,CA,23.24
30000, 36 months,7.89,A,10+ years,MORTGAGE,266000.0,Apr-2016,Fully Paid,other,FL,20.23
7500, 36 months,17.77,D,10+ years,RENT,72000.0,Feb-2013,Fully Paid,debt_consolidation,MA,33.87
20000, 36 months,12.49,B,3 years,MORTGAGE,134000.0,Mar-2014,Fully Paid,credit_card,WV,26.97
18000, 60 months,14.99,C,10+ years,MORTGAGE,42120.0,Jun-2014,Charged Off,home_improvement,FL,16.7
4000, 36 months,13.33,C,4 years,RENT,31471.21,Aug-2015,Charged Off,debt_consolidation,CT,3.81
13000, 60 months,17.09,D,8 years,MORTGAGE,100000.0,Oct-2017,Fully Paid,credit_card,CA,7.04
7500, 36 months,16.99,D,1 year,OWN,45000.0,Jul-2014,Fully Paid,debt_consolidation,CA,3.01
4000, 36 months,13.49,C,2 years,MORTGAGE,31000.0,Nov-2016,Fully Paid,debt_consolidation,AL,20.05
15000, 36 months,6.24,A,< 1 year,MORTGAGE,67000.0,Nov-2015,Charged Off,debt_consolidation,MD,9.57
7500, 36 months,6.24,A,10+ years,RENT,62250.0,Nov-2015,Fully Paid,debt_consolidation,WI,31.0
14000, 60 months,15.04,C,,MORTGAGE,100000.0,Mar-2018,Charged Off,debt_consolidation,NY,4.03
6500, 36 months,18.92,D,9 years,MORTGAGE,78000.0,Apr-2014,Fully Paid,medical,MI,16.26
8000, 36 months,8.18,B,10+ years,OWN,64000.0,Jun-2015,Charged Off,credit_card,GA,17.04
25200, 36 months,7.12,A,2 years,RENT,81000.0,Oct-2014,Fully Paid,debt_consolidation,GA,22.86
4600, 36 months,12.29,C,< 1 year,RENT,18000.0,Oct-2015,Fully Paid,debt_consolidation,CA,7.33
15000, 36 months,13.06,C,10+ years,MORTGAGE,80000.0,May-2018,Fully Paid,credit_card,VA,31.58
25000, 60 months,9.99,B,2 years,MORTGAGE,89600.0,Jun-2015,Fully Paid,debt_consolidation,TX,13.63
6025, 36 months,13.99,C,7 years,RENT,43200.0,Aug-2016,Fully Paid,debt_consolidation,MA,14.72
12000, 60 months,7.89,A,1 year,MORTGAGE,218000.0,Apr-2015,Fully Paid,credit_card,TX,13.43
16000, 36 months,13.49,C,2 years,RENT,141000.0,Jan-2017,Charged Off,debt_consolidation,CA,16.38
35000, 36 months,13.33,C,2 years,RENT,99000.0,Apr-2015,Fully Paid,debt_consolidation,MD,16.54
8800, 36 months,7.21,A,< 1 year,RENT,52000.0,Jun-2017,Fully Paid,debt_consolidation,TX,23.49
21000, 36 months,14.99,C,9 years,MORTGAGE,150000.0,Jan-2015,Charged Off,debt_consolidation,CA,8.59
30000, 60 months,17.86,D,2 years,RENT,93000.0,Apr-2015,Fully Paid,debt_consolidation,AZ,19.87
12000, 36 months,10.15,B,3 years,RENT,35000.0,Aug-2014,Fully Paid,credit_card,IL,26.47
14000, 60 months,19.03,D,10+ years,RENT,65000.0,Feb-2018,Fully Paid,debt_consolidation,IL,16.77
15000, 60 months,12.62,C,< 1 year,MORTGAGE,65000.0,Sep-2017,Fully Paid,debt_consolidation,GA,19.26
3000, 36 months,6.99,A,10+ years,MORTGAGE,200000.0,Nov-2016,Fully Paid,credit_card,MI,8.4
26000, 60 months,17.86,D,1 year,RENT,53000.0,Sep-2015,Charged Off,debt_consolidation,NY,30.61
5000, 36 months,16.02,C,10+ years,RENT,48000.0,Nov-2017,Fully Paid,vacation,CA,8.1
24000, 36 months,8.18,B,10+ years,MORTGAGE,130000.0,Mar-2015,Fully Paid,debt_consolidation,VA,22.63
20000, 36 months,11.47,B,,MORTGAGE,72000.0,Jun-2016,Charged Off,debt_consolidation,MD,17.3
8400, 36 months,6.83,A,3 years,RENT,70000.0,Jun-2018,Fully Paid,debt_consolidation,NY,18.5
35000, 60 months,19.19,E,10+ years,MORTGAGE,120675.0,May-2015,Charged Off,credit_card,NC,36.13
6000, 36 months,6.99,A,10+ years,OWN,110000.0,Jan-2015,Fully Paid,other,TN,21.71
22600, 60 months,24.99,F,2 years,RENT,60000.0,Feb-2014,Charged Off,debt_consolidation,CA,33.64
11500, 36 months,12.12,B,10+ years,MORTGAGE,29500.0,May-2012,Fully Paid,credit_card,FL,24.16
7000, 36 months,14.49,C,3 years,MORTGAGE,53000.0,Sep-2014,Fully Paid,debt_consolidation,MO,39.74
8000, 60 months,18.25,F,9 years,RENT,45600.0,May-2011,Charged Off,debt_consolidation,CA,20.37
5600, 36 months,24.11,F,10+ years,MORTGAGE,55000.0,Feb-2016,Fully Paid,debt_consolidation,AZ,37.1
10000, 36 months,15.61,D,,RENT,54000.0,Apr-2015,Charged Off,debt_consolidation,CA,19.69
10500, 36 months,8.39,B,10+ years,MORTGAGE,125000.0,Feb-2016,Fully Paid,credit_card,AZ,13.8
36000, 60 months,18.99,D,10+ years,MORTGAGE,120000.0,Oct-2016,Fully Paid,debt_consolidation,MD,24.5
12000, 36 months,11.47,B,7 years,MORTGAGE,76000.0,Apr-2016,Fully Paid,home_improvement,CA,18.02
13800, 36 months,14.99,C,4 years,MORTGAGE,33000.0,Oct-2014,Fully Paid,debt_consolidation,OR,31.35
8000, 36 months,7.89,A,10+ years,MORTGAGE,52000.0,Feb-2015,Fully Paid,debt_consolidation,NJ,21.69
25000, 36 months,7.89,A,10+ years,MORTGAGE,105000.0,Dec-2015,Fully Paid,debt_consolidation,UT,16.37
15025, 36 months,15.61,D,2 years,RENT,80000.0,Oct-2015,Fully Paid,debt_consolidation,NJ,36.18
12000, 60 months,8.9,A,10+ years,MORTGAGE,52000.0,Jul-2013,Fully Paid,credit_card,NH,19.81
12000, 36 months,15.99,C,10+ years,RENT,58750.0,Mar-2017,Fully Paid,debt_consolidation,NY,7.17
18000, 60 months,9.58,B,3 years,MORTGAGE,45000.0,Jun-2018,Fully Paid,credit_card,CA,9.17
6000, 36 months,5.32,A,3 years,RENT,88000.0,Sep-2016,Fully Paid,credit_card,DC,20.19
25000, 60 months,13.49,C,5 years,RENT,46500.0,Jun-2011,Fully Paid,debt_consolidation,MN,23.87
10000, 36 months,10.78,B,,RENT,18000.0,Jan-2016,Fully Paid,debt_consolidation,CA,18.93
10000, 60 months,10.42,B,8 years,OWN,96000.0,Aug-2017,Fully Paid,credit_card,NY,6.51
35000, 60 months,16.55,D,10+ years,OWN,148000.0,Oct-2015,Charged Off,other,CA,12.32
25000, 36 months,6.99,A,1 year,RENT,100000.0,Nov-2014,Fully Paid,credit_card,CA,21.82
21000, 36 months,14.49,C,5 years,MORTGAGE,90000.0,Sep-2016,Fully Paid,home_improvement,WA,18.16
5500, 36 months,16.29,C,< 1 year,MORTGAGE,39002.0,Jul-2012,Charged Off,debt_consolidation,GA,7.26
12000, 36 months,19.05,D,8 years,RENT,65000.0,May-2013,Fully Paid,credit_card,PA,20.82
36000, 60 months,29.99,F,,MORTGAGE,75000.0,Feb-2017,Charged Off,debt_consolidation,OH,23.66
9400, 36 months,18.92,D,10+ years,MORTGAGE,65000.0,Feb-2014,Charged Off,debt_consolidation,NY,21.33
9000, 36 months,6.62,A,2 years,OWN,55880.0,May-2013,Fully Paid,credit_card,LA,20.8
6600, 36 months,7.35,A,8 years,MORTGAGE,53000.0,Aug-2017,Fully Paid,debt_consolidation,FL,19.15
5000, 36 months,8.9,A,10+ years,MORTGAGE,53150.0,Dec-2013,Charged Off,debt_consolidation,NY,7.11
8000, 36 months,13.05,B,6 years,MORTGAGE,36000.0,Jul-2013,Fully Paid,debt_consolidation,IL,21.13
12000, 60 months,9.99,B,10+ years,MORTGAGE,118000.0,Aug-2015,Fully Paid,home_improvement,FL,13.36
3600, 36 months,12.74,C,1 year,RENT,70500.0,Feb-2017,Fully Paid,debt_consolidation,TX,33.97
25000, 60 months,9.93,B,7 years,OWN,100000.0,Jun-2017,Fully Paid,debt_consolidation,OR,16.87
1800, 36 months,12.99,C,10+ years,RENT,75000.0,Sep-2014,Fully Paid,debt_consolidation,NY,5.07
8000, 36 months,6.03,A,5 years,MORTGAGE,90000.0,Dec-2012,Fully Paid,debt_consolidation,CT,18.71
10000, 36 months,9.99,B,< 1 year,RENT,55000.0,Apr-2015,Fully Paid,debt_consolidation,CA,4.19
12625, 60 months,15.59,D,8 years,MORTGAGE,36000.0,Jan-2015,Fully Paid,debt_consolidation,HI,36.23
12500, 60 months,15.05,C,10+ years,RENT,53000.0,Sep-2017,Fully Paid,debt_consolidation,AZ,11.59
12800, 60 months,14.48,C,10+ years,MORTGAGE,58000.0,Jan-2016,Fully Paid,debt_consolidation,MN,17.69
20000, 36 months,16.14,C,5 years,MORTGAGE,87000.0,Jul-2018,Fully Paid,debt_consolidation,TX,23.96
6000, 36 months,8.24,B,2 years,RENT,80000.0,Oct-2016,Fully Paid,major_purchase,NY,29.5
12500, 36 months,9.16,B,1 year,MORTGAGE,53000.0,Jun-2016,Fully Paid,debt_consolidation,MN,30.59
6000, 36 months,6.03,A,4 years,RENT,90000.0,Jan-2015,Fully Paid,debt_consolidation,AK,9.89
16500, 36 months,11.99,C,4 years,MORTGAGE,33000.0,Dec-2015,Fully Paid,debt_consolidation,NJ,28.29
21000, 60 months,16.02,C,10+ years,MORTGAGE,66000.0,Mar-2018,Fully Paid,debt_consolidation,CA,23.13
19000, 60 months,12.99,B,,MORTGAGE,54000.0,Oct-2013,Fully Paid,debt_consolidation,MI,22.18
12000, 36 months,7.35,A,,MORTGAGE,37083.0,Aug-2017,Fully Paid,credit_card,TX,43.82
10000, 60 months,18.25,E,10+ years,MORTGAGE,35000.0,May-2015,Fully Paid,debt_consolidation,OR,32.68
15000, 36 months,10.64,B,7 years,MORTGAGE,51000.0,Aug-2013,Charged Off,debt_consolidation,MA,21.22
4900, 36 months,11.44,B,3 years,RENT,70000.0,May-2017,Fully Paid,debt_consolidation,VA,10.94
22000, 60 months,13.11,B,10+ years,MORTGAGE,49000.0,Jun-2013,Fully Paid,debt_consolidation,IL,14.2
10000, 36 months,11.99,B,8 years,RENT,35000.0,Jun-2017,Fully Paid,credit_card,FL,29.94
12500, 36 months,7.39,A,10+ years,MORTGAGE,88000.0,Apr-2016,Fully Paid,other,GA,26.24
3000, 36 months,11.99,C,7 years,MORTGAGE,140000.0,Mar-2016,Fully Paid,small_business,TX,17.0
10625, 36 months,8.39,A,9 years,RENT,65000.0,Aug-2014,Fully Paid,credit_card,GA,16.8
5000, 36 months,7.43,A,8 years,MORTGAGE,150000.0,Jul-2007,Fully Paid,home_improvement,GA,0.0
12000, 60 months,13.99,C,10+ years,OWN,33100.0,Mar-2015,Fully Paid,debt_consolidation,MD,35.9
5200, 36 months,12.49,B,1 year,RENT,26000.0,May-2014,Fully Paid,debt_consolidation,CA,24.75
10000, 36 months,12.29,C,1 year,OWN,95000.0,Feb-2015,Fully Paid,debt_consolidation,AZ,27.84
24000, 36 months,12.69,C,10+ years,RENT,75000.0,May-2015,Fully Paid,debt_consolidation,CA,10.98
20000, 36 months,10.99,B,< 1 year,MORTGAGE,65000.0,Nov-2015,Fully Paid,credit_card,NC,19.2
9000, 36 months,12.29,C,10+ years,RENT,75000.0,May-2015,Fully Paid,debt_consolidation,CA,16.34
6500, 36 months,9.91,B,1 year,MORTGAGE,65400.0,Jan-2012,Fully Paid,car,SC,11.93
8000, 36 months,14.99,C,4 years,RENT,39000.0,Nov-2014,Charged Off,debt_consolidation,FL,16.46
25000, 36 months,9.92,B,< 1 year,RENT,70000.0,Apr-2018,Charged Off,debt_consolidation,FL,28.26
12000, 36 months,8.67,B,7 years,MORTGAGE,60060.0,Nov-2014,Fully Paid,debt_consolidation,CA,21.88
10000, 36 months,8.24,B,10+ years,MORTGAGE,140000.0,Mar-2017,Fully Paid,debt_consolidation,CO,18.32
31000, 60 months,13.58,C,2 years,MORTGAGE,255000.0,Apr-2018,Charged Off,home_improvement,CA,10.49
9900, 36 months,18.49,D,< 1 year,RENT,135000.0,Feb-2013,Fully Paid,debt_consolidation,CA,7.92
24000, 36 months,11.53,B,6 years,MORTGAGE,95000.0,Jun-2015,Fully Paid,debt_consolidation,IL,16.32
8000, 36 months,14.08,C,8 years,OWN,55000.0,Oct-2017,Charged Off,other,MI,12.7
24600, 60 months,15.61,D,10+ years,MORTGAGE,110500.0,Jul-2015,Charged Off,major_purchase,NY,14.17
2700, 36 months,20.0,D,< 1 year,MORTGAGE,28000.0,Jun-2017,Fully Paid,debt_consolidation,WA,7.07
20000, 60 months,21.49,D,3 years,MORTGAGE,85000.0,Oct-2016,Fully Paid,credit_card,NY,20.31
12950, 36 months,11.14,B,< 1 year,MORTGAGE,110000.0,Mar-2013,Fully Paid,credit_card,CA,7.01
4000, 36 months,7.35,A,5 years,RENT,75000.0,Oct-2017,Fully Paid,debt_consolidation,MN,1.81
4800, 36 months,16.29,D,10+ years,MORTGAGE,84000.0,Mar-2016,Charged Off,other,FL,13.13
16000, 60 months,11.44,B,10+ years,MORTGAGE,85000.0,Nov-2016,Charged Off,debt_consolidation,GA,17.03
14350, 36 months,30.89,G,1 year,RENT,32640.0,Aug-2017,Charged Off,other,CO,17.17
12500, 36 months,24.74,E,10+ years,MORTGAGE,36700.0,Nov-2016,Fully Paid,debt_consolidation,FL,18.74
33225, 60 months,24.5,F,10+ years,MORTGAGE,105000.0,Jan-2015,Fully Paid,debt_consolidation,NY,20.97
25000, 36 months,7.49,A,3 years,MORTGAGE,150000.0,Jan-2017,Fully Paid,debt_consolidation,GA,9.74
18000, 36 months,11.14,B,6 years,RENT,89000.0,Jan-2013,Fully Paid,credit_card,OH,22.5
10000, 36 months,8.39,A,10+ years,RENT,30000.0,Oct-2014,Fully Paid,debt_consolidation,PA,34.88
10000, 36 months,7.99,A,3 years,MORTGAGE,170000.0,Apr-2017,Fully Paid,debt_consolidation,KS,11.56
15000, 36 months,10.91,B,10+ years,MORTGAGE,60000.0,Feb-2018,Fully Paid,credit_card,CA,26.72
19800, 36 months,13.99,C,10+ years,MORTGAGE,57000.0,Oct-2015,Fully Paid,debt_consolidation,MN,20.99
4125, 36 months,14.99,C,10+ years,MORTGAGE,36000.0,Oct-2014,Fully Paid,debt_consolidation,MI,18.87
15000, 36 months,11.49,B,7 years,MORTGAGE,165000.0,Oct-2016,Fully Paid,credit_card,OR,11.22
15000, 36 months,5.32,A,10+ years,MORTGAGE,150000.0,May-2017,Fully Paid,major_purchase,CA,5.66
15000, 36 months,12.69,C,< 1 year,RENT,42000.0,Aug-2015,Fully Paid,credit_card,NE,28.71
10000, 60 months,16.29,D,10+ years,MORTGAGE,70000.0,Apr-2016,Fully Paid,home_improvement,FL,8.86
6400, 36 months,13.59,C,2 years,RENT,45000.0,Feb-2018,Charged Off,credit_card,VA,4.99
6000, 36 months,11.99,B,6 years,MORTGAGE,125000.0,Dec-2014,Fully Paid,debt_consolidation,WI,24.46
17000, 60 months,14.48,C,< 1 year,RENT,45000.0,Dec-2015,Charged Off,debt_consolidation,IL,30.27
3600, 36 months,10.99,B,8 years,MORTGAGE,63000.0,Jul-2014,Fully Paid,debt_consolidation,TX,11.07
1200, 36 months,15.58,D,5 years,MORTGAGE,25440.0,Sep-2010,Fully Paid,medical,GA,12.69
15000, 36 months,5.32,A,10+ years,OWN,80000.0,Aug-2016,Fully Paid,other,MA,20.93
2000, 36 months,10.91,B,2 years,MORTGAGE,76000.0,Jul-2017,Charged Off,debt_consolidation,NV,14.48
15000, 36 months,9.99,B,< 1 year,MORTGAGE,50000.0,Nov-2015,Fully Paid,debt_consolidation,FL,22.68
4800, 36 months,16.02,C,,OWN,22800.0,Sep-2017,Charged Off,credit_card,AZ,16.16
9000, 36 months,12.69,C,10+ years,RENT,55000.0,Apr-2015,Charged Off,debt_consolidation,IL,12.75
3000, 36 months,18.25,D,5 years,RENT,60000.0,Feb-2014,Fully Paid,debt_consolidation,MI,10.26
10800, 36 months,7.89,A,10+ years,MORTGAGE,340000.0,Mar-2015,Fully Paid,other,IL,17.4
9600, 36 months,16.99,D,10+ years,RENT,47240.0,Feb-2017,Fully Paid,debt_consolidation,NY,30.49
30750, 36 months,7.9,A,10+ years,MORTGAGE,50000.0,Feb-2012,Fully Paid,credit_card,IL,19.8
14000, 36 months,11.14,B,10+ years,MORTGAGE,75000.0,Nov-2012,Fully Paid,debt_consolidation,GA,12.5
4850, 36 months,26.24,E,10+ years,MORTGAGE,70000.0,Dec-2016,Fully Paid,debt_consolidation,GA,14.74
6400, 36 months,16.02,C,2 years,MORTGAGE,30000.0,Nov-2017,Charged Off,medical,CO,67.6
10000, 36 months,17.99,D,6 years,MORTGAGE,66000.0,Feb-2017,Charged Off,credit_card,FL,17.13
14400, 36 months,10.99,B,10+ years,MORTGAGE,63000.0,Nov-2015,Fully Paid,home_improvement,AL,26.95
10000, 36 months,9.17,B,10+ years,MORTGAGE,62000.0,Sep-2014,Fully Paid,credit_card,TN,12.18
13200, 60 months,13.99,C,3 years,MORTGAGE,57000.0,Aug-2015,Fully Paid,debt_consolidation,CO,20.72
30000, 36 months,14.33,C,3 years,MORTGAGE,88000.0,Mar-2013,Charged Off,debt_consolidation,IL,9.21
4800, 36 months,8.39,B,2 years,RENT,49000.0,Mar-2016,Charged Off,other,NY,14.38
12000, 36 months,7.49,A,10+ years,RENT,85000.0,Dec-2016,Fully Paid,debt_consolidation,IL,20.98
23000, 36 months,11.49,B,4 years,MORTGAGE,50000.0,Dec-2015,Fully Paid,credit_card,NJ,12.96
5000, 36 months,5.32,A,7 years,RENT,23000.0,Jan-2016,Fully Paid,debt_consolidation,CA,4.54
24000, 60 months,15.59,C,10+ years,MORTGAGE,200000.0,Jul-2016,Fully Paid,small_business,GA,4.1
21600, 60 months,12.12,B,9 years,MORTGAGE,110000.0,Apr-2013,Fully Paid,debt_consolidation,NJ,9.87
6000, 36 months,12.69,C,10+ years,OWN,45000.0,Aug-2015,Charged Off,debt_consolidation,MO,37.55
10000, 36 months,14.46,C,2 years,RENT,48000.0,Mar-2016,Fully Paid,credit_card,NY,19.58
13200, 36 months,12.74,C,2 years,RENT,50000.0,Feb-2017,Charged Off,small_business,CA,10.15
11500, 36 months,15.31,C,3 years,RENT,65000.0,Feb-2016,Charged Off,credit_card,UT,23.65
12000, 60 months,16.99,D,10+ years,MORTGAGE,76500.0,Oct-2015,Fully Paid,debt_consolidation,NV,33.27
22025, 60 months,21.99,F,1 year,MORTGAGE,71800.0,Jul-2015,Fully Paid,debt_consolidation,AR,19.79
10000, 36 months,7.24,A,,MORTGAGE,70000.0,Jan-2017,Fully Paid,debt_consolidation,LA,26.62
15000, 36 months,13.11,B,5 years,RENT,37000.0,Mar-2012,Fully Paid,debt_consolidation,MN,18.58
10000, 36 months,12.69,C,,MORTGAGE,36600.0,Oct-2015,Fully Paid,debt_consolidation,OH,25.51
16000, 60 months,23.88,E,10+ years,MORTGAGE,57054.0,Nov-2017,Fully Paid,debt_consolidation,AZ,11.51
15000, 36 months,18.75,D,5 years,MORTGAGE,62424.0,Aug-2012,Fully Paid,moving,OH,27.91
22000, 36 months,7.62,A,10+ years,MORTGAGE,115000.0,Dec-2013,Fully Paid,credit_card,CT,23.98
6000, 36 months,5.32,A,< 1 year,RENT,50000.0,Oct-2015,Fully Paid,debt_consolidation,SC,14.95
16000, 36 months,14.99,C,9 years,MORTGAGE,40000.0,Jul-2014,Fully Paid,debt_consolidation,TX,34.41
5000, 36 months,9.99,B,3 years,RENT,41000.0,Oct-2015,Fully Paid,credit_card,NY,19.5
20000, 36 months,6.24,A,5 years,MORTGAGE,85000.0,Jun-2015,Fully Paid,debt_consolidation,NV,24.51
10000, 60 months,9.16,B,,MORTGAGE,35000.0,Feb-2016,Fully Paid,debt_consolidation,FL,25.13
20000, 36 months,18.06,D,< 1 year,RENT,29000.0,May-2017,Fully Paid,credit_card,CO,9.44
20000, 36 months,6.24,A,10+ years,MORTGAGE,103000.0,Jun-2015,Fully Paid,credit_card,TX,13.08
10000, 36 months,10.99,B,10+ years,MORTGAGE,52000.0,Aug-2015,Fully Paid,credit_card,FL,14.75
6500, 36 months,14.31,C,< 1 year,MORTGAGE,38000.0,Jan-2015,Charged Off,debt_consolidation,MI,18.1
35000, 36 months,13.35,C,< 1 year,RENT,120000.0,Jul-2014,Fully Paid,debt_consolidation,PA,14.21
15925, 36 months,7.89,A,,MORTGAGE,34766.87,Apr-2015,Fully Paid,debt_consolidation,CA,14.91
18000, 36 months,12.74,C,10+ years,MORTGAGE,70000.0,Nov-2016,Fully Paid,debt_consolidation,IL,27.07
18250, 36 months,16.55,D,3 years,MORTGAGE,50000.0,Sep-2015,Fully Paid,debt_consolidation,OR,17.33
6000, 36 months,9.67,B,2 years,MORTGAGE,71000.0,Feb-2014,Fully Paid,credit_card,AZ,10.65
10000, 36 months,8.99,B,5 years,RENT,75000.0,Jul-2016,Charged Off,debt_consolidation,NJ,15.5
25000, 60 months,13.18,C,3 years,MORTGAGE,75000.0,Dec-2015,Charged Off,credit_card,IL,15.73
22750, 60 months,12.35,B,8 years,MORTGAGE,52000.0,Sep-2013,Fully Paid,home_improvement,MN,11.65
20000, 36 months,12.62,C,1 year,MORTGAGE,74000.0,Oct-2017,Fully Paid,debt_consolidation,AL,16.96
40000, 36 months,23.87,E,6 years,MORTGAGE,54000.0,Jun-2018,Fully Paid,debt_consolidation,AR,26.04
